,Номенклатура,ДатаПонедельника,МесяцГод,КоличествоОборот,СуммаВыручкиБезНДСОборот,Себестоимость,Месяц,"Высота профиля, %","Высота шины, мм",Индекс нагрузки,Комплектность,Максимальная нагрузка,Наружный диаметр шины,Норма слойности,"Посадочный диаметр, дюйм",Предполагаемый контрагент,Сезон,Ширина профиля,Страна происхождения,Сезонная группа,ОстаткиПередНеделей,ОстаткиПослеНедели,Прогноз
15,49775,2017-04-10,"[4, 2017]",0.0,0.0,[],4.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
16,49775,2017-04-17,"[4, 2017]",0.0,0.0,[],4.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
17,49775,2017-04-24,"[4.142857142857143, 2017]",0.0,0.0,[],4.142857142857143,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
18,49775,2017-05-01,"[5, 2017]",0.0,0.0,[],5.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
19,49775,2017-05-08,"[5, 2017]",0.0,0.0,[],5.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
20,49775,2017-05-15,"[5, 2017]",0.0,0.0,[],5.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
21,49775,2017-05-22,"[5, 2017]",0.0,0.0,[],5.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
22,49775,2017-05-29,"[5.714285714285714, 2017]",0.0,0.0,[],5.714285714285714,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
23,49775,2017-06-05,"[6, 2017]",0.0,0.0,[],6.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
24,49775,2017-06-12,"[6, 2017]",0.0,0.0,[],6.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
25,49775,2017-06-19,"[6, 2017]",0.0,0.0,[],6.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
26,49775,2017-06-26,"[6.428571428571429, 2017]",0.0,0.0,[],6.428571428571429,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
27,49775,2017-07-03,"[7, 2017]",0.0,0.0,[],7.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
28,49775,2017-07-10,"[7, 2017]",0.0,0.0,[],7.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
29,49775,2017-07-17,"[7, 2017]",0.0,0.0,[],7.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
30,49775,2017-07-24,"[7, 2017]",0.0,0.0,[],7.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
31,49775,2017-07-31,"[8.0, 2017]",0.0,0.0,[],8.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
32,49775,2017-08-07,"[8, 2017]",0.0,0.0,[],8.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
33,49775,2017-08-14,"[8, 2017]",0.0,0.0,[],8.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
34,49775,2017-08-21,"[8, 2017]",0.0,0.0,[],8.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
35,49775,2017-08-28,"[8.571428571428571, 2017]",6.0,1771.14,['1569.36'],8.571428571428571,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
36,49775,2017-09-04,"[9, 2017]",1.0,300.0,['264.48'],9.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
