,Дата,День недели,Номенклатура,КоличествоОборот,СуммаВыручкиБезНДСОборот,Себестоимость,"Высота профиля, %","Высота шины, мм",Индекс нагрузки,Комплектность,Максимальная нагрузка,Наружный диаметр шины,Норма слойности,"Посадочный диаметр, дюйм",Предполагаемый контрагент,Сезон,Ширина профиля,Страна происхождения,Сезонная группа,remains_morning,remains_evening
48,2017-02-18,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
49,2017-02-19,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
50,2017-02-20,0,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
51,2017-02-21,1,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
52,2017-02-22,2,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
53,2017-02-23,3,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
54,2017-02-24,4,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
55,2017-02-25,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
56,2017-02-26,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
57,2017-02-27,0,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
58,2017-02-28,1,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
59,2017-03-01,2,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
60,2017-03-02,3,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
61,2017-03-03,4,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
62,2017-03-04,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
63,2017-03-05,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
64,2017-03-06,0,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
65,2017-03-07,1,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
66,2017-03-08,2,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
67,2017-03-09,3,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
