,Номенклатура,КоличествоОборот,СуммаВыручкиБезНДСОборот,Себестоимость,Месяц,"Высота профиля, %","Высота шины, мм",Индекс нагрузки,Комплектность,Максимальная нагрузка,Наружный диаметр шины,Норма слойности,"Посадочный диаметр, дюйм",Предполагаемый контрагент,Сезон,Ширина профиля,Страна происхождения,Сезонная группа,МесяцГод,ОстаткиПередМесяцем,ОстаткиПослеМесяца,Прогноз
26,49775,62.0,19019.030000000002,"['1026.34', '1199.31', '1025.06', '2094.44', '523.93', '523.93', '523.93', '256.3', '522.64', '511.16', '1571.8', '1569.87', '1045.29', '1567.93', '952.65', '1047.87']",3,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[3, 2019]",0,0,0
27,49775,60.0,18152.780000000002,"['513.73', '523.93', '1028.78', '1046.75', '519.37', '1570.67', '522.64', '522.64', '1045.29', '256.86', '2065.08', '2616.5', '521.51', '521.51', '523.37', '521.51', '523.37', '782.27']",4,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[4, 2019]",0,0,0
28,49775,45.0,14071.2,"['782.27', '2089.04', '511.16', '536.35', '536.35', '1046.76', '523.38', '1044.89', '1568.26', '523.38', '1072.7', '1072.7', '533.85']",5,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[5, 2019]",0,0,0
29,49775,49.0,15390.9,"['2135.41', '1606.55', '256.87', '536.35', '266.93', '533.85', '1067.7', '1072.7', '1067.71', '1067.71', '255.58', '536.35', '1067.71', '536.35', '533.86', '533.85']",6,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[6, 2019]",0,0,0
30,49775,52.0,15749.84,"['523.37', '1067.71', '1072.7', '523.38', '1067.71', '536.35', '533.85', '5351.39', '533.85', '1601.56', '530.28', '533.85']",7,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[7, 2019]",0,0,0
31,49775,55.0,17555.68,"['528.62', '523.79', '4279.37', '1062.36', '536.63', '1085.96', '1628.94', '542.98', '542.98', '1070.01', '533.85', '271.49', '542.98', '533.85', '1070.01']",8,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[8, 2019]",0,0,0
32,49775,54.0,16983.34,"['527.03', '2367.97', '542.98', '527.03', '1612.07', '1595.21', '800.77', '244.11', '535', '534.09', '1594.73', '2384.64', '1068.18']",9,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[9, 2019]",0,0,0
33,49775,114.0,34659.72,"['527.03', '1068.18', '1587.6', '2422.42', '268.18', '1068.18', '1054.06', '533.85', '534.09', '1603.66', '2418.19', '538.32', '267.05', '541.01', '2164.03', '541', '1073.75', '1068.04', '2426.46', '537.34', '1082.02', '2434.53', '4893.35']",10,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[10, 2019]",0,0,0
34,49775,79.0,24130.39,"['544.47', '541.01', '537.55', '1092.73', '2388.84', '547', '1093.99', '3550.44', '547', '547', '547', '547', '1093.99', '547', '547', '547', '5467.35', '273.23', '542.74']",11,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[11, 2019]",0,0,0
35,49775,46.0,14681.94,"['1092.9', '1093.17', '546.45', '546.45', '1092.91', '1092.9', '1111.89', '527.03', '4919.69', '272.24', '272.24']",12,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[12, 2019]",0,0,0
36,49775,11.0,3939.09,"['565.44', '546.46', '565.44', '565.44', '273.49', '565.44']",1,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[1, 2020]",0,0,0
